,Days Since 100 Cases,Doubles in N Days,Reference Cases
468,68,Doubles in 7 Days,84002.34045518171
469,69,Doubles in 7 Days,92746.10322062357
470,70,Doubles in 7 Days,102399.99999999946
471,71,Doubles in 7 Days,113058.76620019777
472,72,Doubles in 7 Days,124826.9981905376
473,73,Doubles in 7 Days,137820.1797255525
474,74,Doubles in 7 Days,152165.81520762265
475,75,Doubles in 7 Days,168004.68091036327
476,76,Doubles in 7 Days,185492.206441247
477,77,Doubles in 7 Days,204799.99999999878
478,78,Doubles in 7 Days,226117.5324003954
479,79,Doubles in 7 Days,249653.99638107503
480,0,Doubles in 8 Days,100.0
481,1,Doubles in 8 Days,109.05077326652577
482,2,Doubles in 8 Days,118.9207115002721
483,3,Doubles in 8 Days,129.68395546510098
484,4,Doubles in 8 Days,141.4213562373095
485,5,Doubles in 8 Days,154.2210825407941
486,6,Doubles in 8 Days,168.17928305074292
487,7,Doubles in 8 Days,183.40080864093426
488,8,Doubles in 8 Days,200.00000000000003
489,9,Doubles in 8 Days,218.10154653305156
490,10,Doubles in 8 Days,237.84142300054424
491,11,Doubles in 8 Days,259.36791093020196
492,12,Doubles in 8 Days,282.842712474619
493,13,Doubles in 8 Days,308.4421650815882
494,14,Doubles in 8 Days,336.35856610148585
495,15,Doubles in 8 Days,366.8016172818685
496,16,Doubles in 8 Days,400.00000000000006
497,17,Doubles in 8 Days,436.2030930661031
498,18,Doubles in 8 Days,475.6828460010885
499,19,Doubles in 8 Days,518.7358218604039
500,20,Doubles in 8 Days,565.685424949238
501,21,Doubles in 8 Days,616.8843301631764
502,22,Doubles in 8 Days,672.7171322029717
503,23,Doubles in 8 Days,733.603234563737
504,24,Doubles in 8 Days,800.0000000000001
505,25,Doubles in 8 Days,872.4061861322062
506,26,Doubles in 8 Days,951.365692002177
507,27,Doubles in 8 Days,1037.4716437208078
508,28,Doubles in 8 Days,1131.370849898476
509,29,Doubles in 8 Days,1233.7686603263528
510,30,Doubles in 8 Days,1345.4342644059434
511,31,Doubles in 8 Days,1467.206469127474
512,32,Doubles in 8 Days,1600.0000000000002
513,33,Doubles in 8 Days,1744.8123722644125
514,34,Doubles in 8 Days,1902.731384004354
515,35,Doubles in 8 Days,2074.9432874416157
516,36,Doubles in 8 Days,2262.741699796952
517,37,Doubles in 8 Days,2467.5373206527056
518,38,Doubles in 8 Days,2690.868528811887
519,39,Doubles in 8 Days,2934.412938254948
520,40,Doubles in 8 Days,3200.0000000000005
521,41,Doubles in 8 Days,3489.624744528825
522,42,Doubles in 8 Days,3805.462768008708
523,43,Doubles in 8 Days,4149.886574883231
524,44,Doubles in 8 Days,4525.483399593904
525,45,Doubles in 8 Days,4935.074641305411
526,46,Doubles in 8 Days,5381.737057623774
527,47,Doubles in 8 Days,5868.825876509896
528,48,Doubles in 8 Days,6400.000000000001
529,49,Doubles in 8 Days,6979.24948905765
530,50,Doubles in 8 Days,7610.925536017416
531,51,Doubles in 8 Days,8299.773149766463
532,52,Doubles in 8 Days,9050.966799187809
533,53,Doubles in 8 Days,9870.149282610822
534,54,Doubles in 8 Days,10763.474115247547
535,55,Doubles in 8 Days,11737.651753019793
536,56,Doubles in 8 Days,12800.000000000002
537,57,Doubles in 8 Days,13958.4989781153
538,58,Doubles in 8 Days,15221.851072034831
539,59,Doubles in 8 Days,16599.546299532925
540,60,Doubles in 8 Days,18101.933598375617
541,61,Doubles in 8 Days,19740.298565221645
