,Days Since 100 Cases,Doubles in N Days,Reference Cases
547,27,Doubles in 6 Days,2262.741699796955
548,28,Doubles in 6 Days,2539.841683149122
549,29,Doubles in 6 Days,2850.8758980490893
550,30,Doubles in 6 Days,3200.000000000004
551,31,Doubles in 6 Days,3591.878554589998
552,32,Doubles in 6 Days,4031.7473596635996
553,33,Doubles in 6 Days,4525.483399593911
554,34,Doubles in 6 Days,5079.683366298246
555,35,Doubles in 6 Days,5701.75179609818
556,36,Doubles in 6 Days,6400.00000000001
557,37,Doubles in 6 Days,7183.757109179998
558,38,Doubles in 6 Days,8063.494719327201
559,39,Doubles in 6 Days,9050.966799187823
560,40,Doubles in 6 Days,10159.366732596494
561,41,Doubles in 6 Days,11403.503592196363
562,42,Doubles in 6 Days,12800.000000000022
563,43,Doubles in 6 Days,14367.514218359998
564,44,Doubles in 6 Days,16126.989438654404
565,45,Doubles in 6 Days,18101.933598375646
566,46,Doubles in 6 Days,20318.73346519299
567,47,Doubles in 6 Days,22807.007184392725
568,48,Doubles in 6 Days,25600.000000000044
569,49,Doubles in 6 Days,28735.028436719997
570,50,Doubles in 6 Days,32253.978877308808
571,51,Doubles in 6 Days,36203.86719675129
572,52,Doubles in 6 Days,40637.46693038598
573,53,Doubles in 6 Days,45614.01436878545
574,54,Doubles in 6 Days,51200.00000000009
575,55,Doubles in 6 Days,57470.05687343999
576,56,Doubles in 6 Days,64507.957754617615
577,57,Doubles in 6 Days,72407.73439350259
578,58,Doubles in 6 Days,81274.93386077195
579,59,Doubles in 6 Days,91228.0287375709
580,60,Doubles in 6 Days,102400.00000000017
581,61,Doubles in 6 Days,114940.11374687999
582,62,Doubles in 6 Days,129015.91550923523
583,63,Doubles in 6 Days,144815.46878700517
584,64,Doubles in 6 Days,162549.8677215439
585,65,Doubles in 6 Days,182456.0574751418
586,66,Doubles in 6 Days,204800.00000000035
587,67,Doubles in 6 Days,229880.22749375997
588,68,Doubles in 6 Days,258031.83101847046
589,69,Doubles in 6 Days,289630.93757401034
590,70,Doubles in 6 Days,325099.7354430878
591,71,Doubles in 6 Days,364912.1149502836
592,72,Doubles in 6 Days,409600.0000000007
593,73,Doubles in 6 Days,459760.45498751994
594,74,Doubles in 6 Days,516063.6620369409
595,75,Doubles in 6 Days,579261.8751480207
596,76,Doubles in 6 Days,650199.4708861756
597,77,Doubles in 6 Days,729824.2299005672
598,78,Doubles in 6 Days,819200.0000000014
